source_url,source_type,title,material_id,reported_active_for_co2rr,download_url,original_format,local_filename,status,notes
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=9K88t-M7FUvlALmTdMMjjZbgUajO,Nature Nanocluster DB,QCD Rh4 (4 atoms),QCD_9K88t-M7FUvlALmTdMMjjZbgUajO,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/9K88t-M7FUvlALmTdMMjjZbgUajO/archive,NOMAD_archive,nanocluster_Rh4_4atom.cif,downloaded_converted,QCD DFT PBE Rh4 4atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=73-FgJr4hZacQfnJAmfvPGcMrJ7H,Nature Nanocluster DB,QCD Rh55 (55 atoms),QCD_73-FgJr4hZacQfnJAmfvPGcMrJ7H,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/73-FgJr4hZacQfnJAmfvPGcMrJ7H/archive,NOMAD_archive,nanocluster_Rh55_55atom.cif,downloaded_converted,QCD DFT PBE Rh55 55atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=0GL9-ld-fzv6LQ4swhF3xVL5R3BI,Nature Nanocluster DB,QCD Rh5 (5 atoms),QCD_0GL9-ld-fzv6LQ4swhF3xVL5R3BI,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/0GL9-ld-fzv6LQ4swhF3xVL5R3BI/archive,NOMAD_archive,nanocluster_Rh5_5atom.cif,downloaded_converted,QCD DFT PBE Rh5 5atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=5_6CM_EOxN0TesQh7O4sbFSMHIJ_,Nature Nanocluster DB,QCD Rh6 (6 atoms),QCD_5_6CM_EOxN0TesQh7O4sbFSMHIJ_,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/5_6CM_EOxN0TesQh7O4sbFSMHIJ_/archive,NOMAD_archive,nanocluster_Rh6_6atom.cif,downloaded_converted,QCD DFT PBE Rh6 6atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=-KcAdZgbtzmv5HXq-zb9grA-yw3i,Nature Nanocluster DB,QCD Rh7 (7 atoms),QCD_-KcAdZgbtzmv5HXq-zb9grA-yw3i,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/-KcAdZgbtzmv5HXq-zb9grA-yw3i/archive,NOMAD_archive,nanocluster_Rh7_7atom.cif,downloaded_converted,QCD DFT PBE Rh7 7atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=85BFC71eINUvl2OTGhE4l7HBUH62,Nature Nanocluster DB,QCD Rh8 (8 atoms),QCD_85BFC71eINUvl2OTGhE4l7HBUH62,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/85BFC71eINUvl2OTGhE4l7HBUH62/archive,NOMAD_archive,nanocluster_Rh8_8atom.cif,downloaded_converted,QCD DFT PBE Rh8 8atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=-aj1eY1WGOfth5lVnvS2QY30BeMC,Nature Nanocluster DB,QCD Rh9 (9 atoms),QCD_-aj1eY1WGOfth5lVnvS2QY30BeMC,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/-aj1eY1WGOfth5lVnvS2QY30BeMC/archive,NOMAD_archive,nanocluster_Rh9_9atom.cif,downloaded_converted,QCD DFT PBE Rh9 9atom cluster. Manna Sci Data 2023.
,ioChem-BD,,nanocluster,yes,,CONTCAR,nanocluster_Ru10_10atom.cif,downloaded_converted,Pre-existing file
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=5VenSp3brg9jYghFNKL4499-RSpi,Nature Nanocluster DB,QCD Ru13 (13 atoms),QCD_5VenSp3brg9jYghFNKL4499-RSpi,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/5VenSp3brg9jYghFNKL4499-RSpi/archive,NOMAD_archive,nanocluster_Ru13_13atom.cif,downloaded_converted,QCD DFT PBE Ru13 13atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=DpuQ3vhQ0XLGMxTprnOAtcVGomdu,Nature Nanocluster DB,QCD Ru19 (19 atoms),QCD_DpuQ3vhQ0XLGMxTprnOAtcVGomdu,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/DpuQ3vhQ0XLGMxTprnOAtcVGomdu/archive,NOMAD_archive,nanocluster_Ru19_19atom.cif,downloaded_converted,QCD DFT PBE Ru19 19atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=FKCWIYFYaoWDvNFpC-7-n-cIqKbK,Nature Nanocluster DB,QCD Ru23 (23 atoms),QCD_FKCWIYFYaoWDvNFpC-7-n-cIqKbK,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/FKCWIYFYaoWDvNFpC-7-n-cIqKbK/archive,NOMAD_archive,nanocluster_Ru23_23atom.cif,downloaded_converted,QCD DFT PBE Ru23 23atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=501SQ0xIRNlWxpYW3FskVwlSwL1j,Nature Nanocluster DB,QCD Ru38 (38 atoms),QCD_501SQ0xIRNlWxpYW3FskVwlSwL1j,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/501SQ0xIRNlWxpYW3FskVwlSwL1j/archive,NOMAD_archive,nanocluster_Ru38_38atom.cif,downloaded_converted,QCD DFT PBE Ru38 38atom cluster. Manna Sci Data 2023.
