filename,n_atoms,composition,metal_score,d_band_proxy,active_site_score,size_score,en_score,intermediate_score,surface_ratio,total_score,label,error
zenodo_10679574_Si_cont_20.cif,74,C1 Cu71 O1 Si1,0.7833,0.8612,0.2394,0.9769,1.0,0.0,0.4595,56.54,uncertain,
zenodo_10679574_Si_cont_21.cif,74,C1 Cu71 O1 Si1,0.7833,0.8615,0.2394,0.9769,1.0,0.0,0.4595,56.54,uncertain,
zenodo_10679574_Si_cont_3.cif,38,C1 Cu35 O1 Si1,0.7833,0.8997,0.4857,0.9755,1.0,0.0,0.8947,65.15,likely_active,
zenodo_10679574_Si_cont_31.cif,42,C1 Cu39 O1 Si1,0.7833,0.8701,0.3846,0.988,1.0,0.0,0.7143,61.51,likely_active,
zenodo_10679574_Si_cont_32.cif,42,C1 Cu39 O1 Si1,0.7833,0.8694,0.3846,0.988,1.0,0.0,0.7143,61.5,likely_active,
zenodo_10679574_Si_cont_33.cif,42,C1 Cu39 O1 Si1,0.7833,0.8689,0.3846,0.988,1.0,0.0,0.7143,61.49,likely_active,
zenodo_10679574_Si_cont_34.cif,42,C1 Cu39 O1 Si1,0.7833,0.8694,0.3846,0.988,1.0,0.0,0.7143,61.5,likely_active,
zenodo_10679574_Si_cont_35.cif,42,C1 Cu39 O1 Si1,0.7833,0.8717,0.4103,0.988,1.0,0.0,0.7619,62.4,likely_active,
zenodo_10679574_Si_cont_36.cif,42,C1 Cu39 O1 Si1,0.7833,0.8728,0.4103,0.988,1.0,0.0,0.7619,62.41,likely_active,
zenodo_10679574_Si_cont_37.cif,42,C1 Cu39 O1 Si1,0.7833,0.8728,0.4103,0.988,1.0,0.0,0.7619,62.41,likely_active,
zenodo_10679574_Si_cont_38.cif,42,C1 Cu39 O1 Si1,0.7833,0.8689,0.359,0.988,1.0,0.5,0.6667,70.63,likely_active,
zenodo_10679574_Si_cont_39.cif,42,C1 Cu39 O1 Si1,0.7833,0.8683,0.359,0.988,1.0,0.5,0.6667,70.62,likely_active,
zenodo_10679574_Si_cont_4.cif,38,C1 Cu35 O1 Si1,0.7833,0.8984,0.4857,0.9755,1.0,0.0,0.8947,65.13,likely_active,
zenodo_10679574_Si_cont_40.cif,42,C1 Cu39 O1 Si1,0.7833,0.8678,0.359,0.988,1.0,0.0,0.6667,60.61,likely_active,
zenodo_10679574_Si_cont_41.cif,42,C1 Cu39 O1 Si1,0.7833,0.8694,0.3846,0.988,1.0,0.0,0.7143,61.5,likely_active,
zenodo_10679574_Si_cont_42.cif,42,C1 Cu39 O1 Si1,0.7833,0.8705,0.3846,0.988,1.0,0.5,0.7143,71.52,likely_active,
zenodo_10679574_Si_cont_43.cif,42,C1 Cu39 O1 Si1,0.7833,0.8717,0.3846,0.988,1.0,0.5,0.7143,71.53,likely_active,
zenodo_10679574_Si_cont_44.cif,42,C1 Cu39 O1 Si1,0.7833,0.8717,0.3846,0.988,1.0,0.5,0.7143,71.53,likely_active,
zenodo_10679574_Si_cont_45.cif,42,C1 Cu39 O1 Si1,0.7833,0.8689,0.359,0.988,1.0,0.5,0.6667,70.63,likely_active,
zenodo_10679574_Si_cont_46.cif,42,C1 Cu39 O1 Si1,0.7833,0.8694,0.3846,0.988,1.0,0.5,0.7143,71.5,likely_active,
